Latitude,Longitude,Altitude
6.616151522820488,-101.42257161878837,-20.157809340999542
6.411160595388626,-101.18123800353291,-20.157805299585064
6.215931174949734,-100.95846851018842,-20.15780157924408
6.001178871530641,-100.73569903832967,-20.15779785440843
5.805949496174076,-100.51292952629754,-20.157794162001707
5.610720142820032,-100.29016000282112,-20.157790482121925
5.415490727162837,-100.06738890146023,-20.257786817180573
5.210499971080157,-99.84461937620353,-20.257783158092714
5.034793610203263,-99.64041395409069,-20.257779826179117
4.829802897933689,-99.41764440870125,-20.257776194822412
4.644335149306055,-99.23200312992384,-20.257773167490043
4.449105948979653,-99.02779770308976,-20.25776985708758
4.263638216721251,-98.8235922556901,-20.257766564836054
4.078170503405435,-98.61938680097157,-20.257763284756052
3.9024642558744524,-98.41518132656458,-20.257760023380285
3.7267580437974885,-98.22953999512131,-20.257757058061955
3.5608132773038967,-98.02533449562068,-20.257753824193777
3.3753456541333513,-97.83969315634883,-20.257750873549504
3.1898780632754473,-97.67261595871192,-20.257748218687844
3.0141719180280617,-97.48697459434695,-20.25774529445671
2.838465789458187,-97.30133322393768,-20.257742381611237
2.643236815828807,-97.15282015701553,-20.25774003583006
2.4382464253052127,-97.0228712385433,-20.257737978347144
2.2332560271036144,-96.85579400756659,-20.25773536373635
2.028265665854015,-96.7258450670393,-20.25773332641686
1.8232753179124295,-96.59589611523451,-20.25773129605087
1.6085235494699468,-96.48451130669797,-20.257729552801543
1.384010345147992,-96.35456234136572,-20.257727536246925
1.1497357198055624,-96.24317751474544,-20.257725810712394
0.9056996573561129,-96.15035531934392,-20.35772437071121
0.6714250614524744,-96.03897046804985,-20.35772266586065
0.40786616037325985,-95.9461497533739,-20.35772124675649
0.15406871184518067,-95.85332902225983,-20.357719841070107
-0.10949016548346435,-95.77907242478335,-20.357718726250212
-0.3828104703971107,-95.68625165704364,-20.35771734314644
-0.6463693231796697,-95.59343087269475,-20.35771597356593
-0.9099281634200302,-95.50061007016532,-20.357714615195157
-1.1930098689614645,-95.40778924515311,-20.35771327506331
-1.4760915683442555,-95.33353254960333,-20.35771222399576
-1.7591732485079028,-95.24071168219788,-20.357710910002716
-2.0422549249970494,-95.16645494646717,-20.357709886992282
-2.325336554658037,-95.09219670006813,-20.4577088746764
-2.6279410936029066,-95.03650406059197,-20.457708162299696
-2.9207841721609817,-94.96224725576973,-20.457707184077933
