X,Y,Z
21.89,-151.16,-24.16
22.04,-150.99,-24.16
22.2,-150.82,-24.16
22.34,-150.67,-24.16
22.5,-150.51,-24.16
22.65,-150.34,-24.16
22.8,-150.17,-24.16
22.96,-150.02,-24.16
23.11,-149.86,-24.16
23.27,-149.69,-24.16
23.43,-149.54,-24.16
23.58,-149.37,-24.16
23.74,-149.23,-24.16
23.9,-149.06,-24.16
24.06,-148.91,-24.16
24.23,-148.74,-24.16
24.38,-148.59,-24.16
24.55,-148.45,-24.16
24.7,-148.28,-24.16
24.88,-148.13,-24.16
25.04,-147.98,-24.16
25.2,-147.81,-24.16
25.37,-147.67,-24.16
25.54,-147.52,-24.16
25.71,-147.37,-24.16
25.88,-147.22,-24.16
26.04,-147.07,-24.16
26.22,-146.92,-24.16
26.39,-146.77,-24.16
26.56,-146.63,-24.16
26.73,-146.48,-24.16
26.9,-146.33,-24.16
27.07,-146.18,-24.16
27.23,-146.03,-24.16
27.4,-145.88,-24.16
27.56,-145.72,-24.16
27.73,-145.57,-24.16
27.89,-145.4,-24.16
28.05,-145.25,-24.16
28.21,-145.09,-24.16
28.37,-144.94,-24.16
28.53,-144.77,-24.16
28.69,-144.6,-24.16
28.84,-144.45,-24.16
29.0,-144.29,-24.16
29.16,-144.12,-24.16
29.31,-143.95,-24.16
29.46,-143.79,-24.16
29.59,-143.62,-24.16
29.71,-143.43,-24.16
29.84,-143.25,-24.16
29.96,-143.06,-24.16
30.07,-142.88,-24.16
30.18,-142.67,-24.16
30.28,-142.49,-24.16
